PRIMARY ID,BREED,COLOR OF DOG,,,,,,,,
47071906,Plott,None,,,,,,,,
47071908,Plott,None,,,,,,,,
47071909,Plott,None,,,,,,,,
47071910,Plott,None,,,,,,,,
47071902,Poodle,White,,,,,,,,
47071893,Black,None,,,,,,,,
47071880,Staffordshire,None,,,,,,,,
47071890,Rat,None,,,,,,,,
47071889,Great,None,,,,,,,,
47071892,Labrador,None,,,,,,,,
47071888,Yorkshire,None,,,,,,,,
47071884,Schnauzer,None,,,,,,,,
47071885,Schnauzer,None,,,,,,,,
47071879,Labrador,None,,,,,,,,
47071886,Labrador,None,,,,,,,,
47071887,Labrador,None,,,,,,,,
47071875,Labrador,None,,,,,,,,
47071876,Siberian,None,,,,,,,,
47071874,Australian,None,,,,,,,,
47071872,Australian,None,,,,,,,,
47071867,Siberian,None,,,,,,,,
47071869,Siberian,None,,,,,,,,
47071866,Akita,None,,,,,,,,
47071868,Anatolian,None,,,,,,,,
47071871,Chihuahua,None,,,,,,,,
47071870,Chihuahua,None,,,,,,,,
47071865,Pug,None,,,,,,,,
47071864,Labrador,None,,,,,,,,
47071863,Pit,None,,,,,,,,
47071860,Labrador,None,,,,,,,,
47071858,Mixed,None,,,,,,,,
47071856,American,None,,,,,,,,
47071853,Husky,None,,,,,,,,
47071840,Pug,None,,,,,,,,
47071839,Chihuahua,None,,,,,,,,
47071838,Pit,None,,,,,,,,
47071835,Chihuahua,None,,,,,,,,
47071834,Pomeranian,None,,,,,,,,
47071833,Pit,None,,,,,,,,
47071832,Mixed,None,,,,,,,,
47071830,Chihuahua,None,,,,,,,,
47071831,Australian,None,,,,,,,,
47071829,Labrador,None,,,,,,,,
47071826,Labrador,None,,,,,,,,
47071827,Pit,None,,,,,,,,
47071828,Chow,None,,,,,,,,
47071821,German,None,,,,,,,,
47071819,Cairn,None,,,,,,,,
47071820,Pit,None,,,,,,,,
47071817,Labrador,None,,,,,,,,
47071818,Dutch,None,,,,,,,,
47071814,Yorkshire,None,,,,,,,,
47071807,Pit,None,,,,,,,,
47071808,Chihuahua,None,,,,,,,,
47071806,American,None,,,,,,,,
47071805,American,None,,,,,,,,
47071804,American,None,,,,,,,,
47071801,Labrador,None,,,,,,,,
47071795,Shih,None,,,,,,,,
47071796,Pit,None,,,,,,,,
47071789,Border,None,,,,,,,,
47071794,Pit,None,,,,,,,,
47071791,Akita,None,,,,,,,,
47071792,Labrador,None,,,,,,,,
47071770,Cocker,None,,,,,,,,
47071721,Mixed,None,,,,,,,,
47071771,Beagle,None,,,,,,,,
47071760,Boxer,None,,,,,,,,
47071765,Wire,None,,,,,,,,
47071764,Labrador,None,,,,,,,,
47071566,Chihuahua,Golden,,,,,,,,
47071686,Boxer,None,,,,,,,,
47071718,Chihuahua,White,,,,,,,,
47071757,Husky,None,,,,,,,,
47071752,Labrador,None,,,,,,,,
47071754,Labrador,None,,,,,,,,
47071751,Siberian,None,,,,,,,,
47071753,Lhasa,None,,,,,,,,
47071744,Shepherd,None,,,,,,,,
47071745,Pointer,None,,,,,,,,
47071746,Shepherd,None,,,,,,,,
47071748,Labrador,None,,,,,,,,
47071749,Labrador,None,,,,,,,,
47071747,Beagle,None,,,,,,,,
47071750,Dachshund,None,,,,,,,,
47071739,Fox,None,,,,,,,,
47071741,Labrador,None,,,,,,,,
47071743,Corgi,None,,,,,,,,
47071738,Schipperke,None,,,,,,,,
47071737,Labrador,None,,,,,,,,
47071742,Labrador,None,,,,,,,,
47071740,Labrador,None,,,,,,,,
47071729,Labrador,None,,,,,,,,
47071728,Golden,None,,,,,,,,
47071732,Shepherd,None,,,,,,,,
47071731,Labrador,None,,,,,,,,
47071733,Labrador,None,,,,,,,,
47071736,Pointer,None,,,,,,,,
47071734,Labrador,None,,,,,,,,
47071735,Shepherd,None,,,,,,,,
47071727,Labrador,None,,,,,,,,
47071730,Labrador,None,,,,,,,,
47071726,Labrador,None,,,,,,,,
47071682,Mixed,None,,,,,,,,
47071699,Labrador,Brown,,,,,,,,
47071698,Chihuahua,White,,,,,,,,
47071713,German,None,,,,,,,,
47071706,Pomeranian,None,,,,,,,,
47071707,Pomeranian,None,,,,,,,,
47071708,Pomeranian,None,,,,,,,,
47071703,Labrador,None,,,,,,,,
47071558,Miniature,Black,,,,,,,,
47071681,Mixed,Brindle,,,,,,,,
47071683,Chihuahua,Black,,,,,,,,
47071680,Poodle,None,,,,,,,,
47071565,Chihuahua,Brown,,,,,,,,
47071677,American,Black,,,,,,,,
47071569,Golden,Golden,,,,,,,,
47071552,Mixed,None,,,,,,,,
47071567,Pit,White,,,,,,,,
47071676,Pit,None,,,,,,,,
47071673,Retriever,None,,,,,,,,
